station_name,station_code,capacity,grid_connection_date,raw_keys
Bombeiros Camarate,NE=190138150,23.4,2025-09-09T16:50:05+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Projeto 2 - António Evaristo Goncalves,NE=153502531,143.64,2024-06-19T10:27:51+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Pessegueiro do Vouga 1,NE=168504363,44.84,2025-03-06T16:57:51+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
CSP - São João das Lampas,NE=148247702,54.72,2024-02-01T15:01:31+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Entre Vinhas e Mar - Paula Cunha Monteiro,NE=157795675,11.4,2024-09-09T17:15:17+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Protecnil,NE=154982231,42.75,2024-07-17T07:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Queijaria Lourenço e Filhos,NE=154743789,36.48,2024-07-11T17:18:25+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
BV Sintra,NE=237109116,66.69,2026-01-27T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Colvi 3,NE=167081834,75.52,2025-02-14T14:30:55+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
APPACDM Portalegre,NE=160469859,20.52,2024-10-30T17:13:05+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
SCM Benavente,NE=148977888,142.56,2024-02-26T17:50:03+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Fravizel,NE=149653820,408.8,2024-03-14T08:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
António Evaristo Goncalves - Projeto 3,NE=154929797,153.9,2024-07-16T17:18:07+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Ignoramus - Herdade da Adema,NE=158307297,127.68,2024-09-19T12:51:57+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
